年度,問題番号,カテゴリ,出題法令,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
R03,11,権利関係,借地借家法（借地権）,次の記述のうち、借地借家法の規定及び判例によれば、正しいものはどれか。,借地権の存続期間を契約で30年と定めた場合には、当事者が借地契約を更新する際、その期間を更新の日から30年以下に定めることはできない。,借地権の存続期間が満了する場合、借地権者が契約の更新を請求したとき、その土地上に建物が存在する限り、借地権設定者は異議を述べることができない。,借地権者が借地上の建物にのみ登記をしている場合、当該借地権を第三者に対抗することができるのは、当該建物の敷地の表示として記載されている土地のみである。,借地権設定者は、弁済期の到来した最後の3年分の地代等について、借地権者がその土地において所有する建物の上に先取特権を有する。,3
R03,12,権利関係,借地借家法（建物賃貸借）,賃貸人Aと賃借人Bとの間で令和3年7月1日に締結した一時使用目的ではない建物賃貸借契約（以下この問において「本件契約」という。）の終了に関する次の記述のうち、民法及び借地借家法の規定並びに判例によれば、正しいものはどれか。,本件契約に期間を2年とする旨の定めがあり、AもBも更新拒絶の通知をしなかったために本件契約が借地借家法に基づき更新される場合、更新後の期間について特段の合意がなければ、更新後の契約期間は2年となる。,本件契約において期間の定めがない場合、借地借家法第28条に定める正当事由を備えてAが解約の申入れをしたときには、解約の申入れをした日から6月を経過した日に、本件契約は終了する。,建物の転貸借がされている場合において、本件契約がB（転貸人）の債務不履行によって解除されて終了するときは、AがAが転借人に本件契約の終了を通知した日から6月を経過することによって、転貸借契約は終了する。,BがAの同意を得て建物に付加した造作がある場合であっても、本件契約終了時にAに対して借地借家法第33条の規定に基づく造作買取請求権を行使することはできない、という特約は無効である。,2
R03,13,権利関係,区分所有法,建物の区分所有等に関する法律に関する次の記述のうち、誤っているものはどれか。,区分所有者以外の者であって区分所有者の承諾を得て専有部分を占有する者は、会議の目的たる事項につき利害関係を有する場合には、集会に出席して議決権を行使することはできないが、意見を述べることはできる。,最初に建物の専有部分の全部を所有する者は、公正証書により、共用部分（数個の専有部分に通ずる廊下又は階段室その他構造上区分所有者の全員又はその一部の共用に供されるべき建物の部分）の規約を設定することができる。,共用部分は、区分所有者全員の共有に属するが、規約に特別の定めがあるときは、管理者を共用部分の所有者と定めることもできる。,管理組合法人を設立する場合は、理事を置かなければならず、理事が数人ある場合において、規約に別段の定めがないときは、管理組合法人の事務は、理事の過半数で決する。,2
R03,14,権利関係,不動産登記法,不動産の登記に関する次の記述のうち、不動産登記法の規定によれば、誤っているものはどれか。,表題登記がない土地の所有権を取得した者は、その所有権の取得の日から1月以内に、表題登記を申請しなければならない。,共用部分である旨の登記がある建物について、合併の登記をすることができる。,登記官は、表示に関する登記について申請があった場合において、必要があると認めるときは、当該不動産の表示に関する事項を調査することができる。,区分建物である建物を新築した場合において、その所有者について相続その他の一般承継があったときは、相続人その他の一般承継人も、被承継人を表題部所有者とする当該建物についての表題登記を申請することができる。,2
R03,15,法令上の制限,都市計画法（用途地域）,都市計画法に関する次の記述のうち、正しいものはどれか。,近隣商業地域は、主として商業その他の業務の利便の増進を図りつつ、これと調和した住居の環境を保護するため定める地域とする。,準工業地域は、主として環境の悪化をもたらすおそれのない工業の利便の増進を図りつつ、これと調和した住居の環境を保護するため定める地域とする。,第一種低層住居専用地域については、都市計画に特定用途制限地域を定めることができる場合がある。,第一種住居地域については、都市計画に高層住居誘導地区を定めることができる場合がある。,4
R03,16,法令上の制限,都市計画法（開発許可）,都市計画法に関する次の記述のうち、誤っているものはどれか。ただし、この問において「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び施行時特例市にあってはその長をいうものとする。,開発許可を受けようとする者は、開発行為に関する工事の請負人又は請負契約によらないで自らその工事を施行する者を記載した申請書を都道府県知事に提出しなければならない。,開発許可を受けた者は、開発行為に関する国土交通省令で定める軽微な変更をしたときは、遅滞なく、その旨を都道府県知事に届け出なければならない。,開発許可を受けた者は、開発行為に関する工事の廃止をしようとするときは、都道府県知事の許可を受けなければならない。,開発行為に同意していない土地の所有者は、当該開発行為に関する工事完了の公告前に、当該開発許可を受けた開発区域内において、その権利の行使として自己の土地に建築物を建築することができる。,3
R03,17,法令上の制限,建築基準法,建築基準法に関する次の記述のうち、誤っているものはどれか。,4階建ての建築物の避難階以外の階を劇場の用途に供し、当該階に客席を有する場合には、当該階から避難階又は地上に通ずる2以上の直通階段を設けなければならない。,床面積の合計が500㎡の映画館の用途に供する建築物を演芸場に用途変更する場合、建築主事又は指定確認検査機関の確認を受ける必要はない。,換気設備を設けていない居室には、換気のための窓その他の開口部を設け、その換気に有効な部分の面積は、その居室の床面積に対して10分の1以上としなければならない。,延べ面積が800㎡の百貨店の階段の部分には、排煙設備を設けなくてもよい。,3
R03,18,法令上の制限,建築基準法（道路・容積率・建蔽率）,次の記述のうち、建築基準法（以下この問において「法」という。）の規定によれば、正しいものはどれか。,法第68条の9第1項の規定に基づく条例の制定の際、現に建築物が立ち並んでいる道は、法上の道路とみなされる。,都市計画により、容積率の限度が10分の50とされている準工業地域内において、建築物の高さは、前面道路の反対側の境界線からの水平距離が35m以下の範囲内においては、当該部分から前面道路の反対側の境界線までの水平距離に、1.5を乗じて得た値以下でなければならない。,"第一種住居地域においては、畜舎で、その用途に供する部分の床面積が4,000㎡のものを建築することができる。",建築物の敷地が、法第53条第1項の規定に基づく建築物の建蔽率に関する制限を受ける地域又は区域の二以上にわたる場合においては、当該建築物の敷地の過半の属する地域又は区域における建蔽率に関する制限が、当該建築物に対して適用される。,2
R03,19,法令上の制限,宅地造成等規制法,宅地造成等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問において「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び施行時特例市にあってはその長をいうものとする。,宅地造成工事規制区域外において行われる宅地造成に関する工事について、造成主は、工事に着手する前に都道府県知事に届け出なければならない。,都道府県知事は、宅地造成工事規制区域内における宅地の所有者、管理者又は占有者に対して、当該宅地又は当該宅地において行われている工事の状況について報告を求めることができる。,宅地造成工事規制区域内において宅地造成に関する工事を行う場合、宅地造成に伴う災害を防止するために行う高さ5mを超える擁壁に係る工事については、政令で定める資格を有する者の設計によらなければならない。,都道府県知事は、偽りその他不正な手段によって宅地造成工事規制区域内において行われる宅地造成に関する工事の許可を受けた者に対して、その許可を取り消すことができる。,1
R03,20,法令上の制限,土地区画整理法,土地区画整理法（以下この問において「法」という。）に関する次の記述のうち、誤っているものはどれか。,土地区画整理組合が施行する土地区画整理事業に係る施行地区内の宅地について借地権のみを有する者は、その土地区画整理組合の組合員とはならない。,法において、「公共施設」とは、道路、公園、広場、河川その他政令で定める公共の用に供する施設をいう。,施行者は、換地処分の公告があった場合においては、直ちに、その旨を換地計画に係る区域を管轄する登記所に通知しなければならない。,市町村が施行する土地区画整理事業では、事業ごとに、市町村に土地区画整理審議会が設置され、換地計画、仮換地の指定及び減価補償金の交付に関する事項について法に定める権限を行使する。,1
R03,21,法令上の制限,農地法,農地に関する次の記述のうち、農地法（以下この問において「法」という。）の規定によれば、正しいものはどれか。,自己所有の農地に住宅を建設する資金を借り入れるため、当該農地に抵当権の設定をする場合には、法第3条第1項の許可を受ける必要がある。,農地の賃貸借の解除については、農地の所有者が、賃借人に対して一方的に解約の申入れを行う場合には、法第18条第1項の許可を受ける必要がない。,登記簿の地目が宅地となっている場合には、現況が農地であっても法の規制の対象とはならない。,市街化区域内の自己所有の農地を駐車場に転用するため、あらかじめ農業委員会に届け出た場合には、法第4条第1項の許可を受ける必要がない。,4
R03,22,法令上の制限,国土利用計画法,国土利用計画法（以下この問において「法」という。）第23条の届出（以下この問において「事後届出」という。）及び法第29条の届出に関する次の記述のうち、正しいものはどれか。なお、この問において「都道府県知事」とは、地方自治法に基づく指定都市にあってはその長をいうものとする。,"個人Aが所有する都市計画区域外の12,000㎡の土地に、個人Bが地上権の設定を受ける契約を締結した場合、Bは一定の場合を除き事後届出を行う必要がある。",法第28条に基づく遊休土地に係る通知を受けた者は、その通知があった日から起算して1月以内に、その通知に係る遊休土地の利用又は処分に関する計画を、都道府県知事に届け出なければならない。,"市街化調整区域において、宅地建物取引業者Cが所有する面積5,000㎡の土地について、宅地建物取引業者Dが一定の計画に従って、2,000㎡と3,000㎡に分割して順次購入した場合、Dは事後届出を行う必要はない。",都道府県知事は、事後届出があった場合において、土地の利用目的に係る必要な勧告を行うことができ、その勧告を受けた者がその勧告に従わないときは、その旨及びその内容を公表しなければならない。,1
R03,23,税・その他,登録免許税,住宅用家屋の所有権の移転登記に係る登録免許税の税率の軽減措置に関する次の記述のうち、正しいものはどれか。,この税率の軽減措置の適用対象となる住宅用家屋は、床面積が100㎡以上で、その住宅用家屋を取得した個人の居住の用に供されるものに限られる。,この税率の軽減措置の適用対象となる住宅用家屋は、売買又は競落により取得したものに限られる。,この税率の軽減措置は、一定の要件を満たせばその住宅用家屋の敷地の用に供されている土地の所有権の移転登記についても適用される。,この税率の軽減措置の適用を受けるためには、登記の申請書に、一定の要件を満たす住宅用家屋であることの都道府県知事の証明書を添付しなければならない。,2
R03,24,税・その他,固定資産税,固定資産税に関する次の記述のうち、正しいものはどれか。,市町村長は、固定資産課税台帳に登録された価格等に重大な錯誤があることを発見した場合においては、直ちに決定された価格等を修正して、これを固定資産課税台帳に登録しなければならない。,固定資産税の納税義務者は、その納付すべき当該年度の固定資産税に係る固定資産について、固定資産課税台帳に登録された価格について不服があるときは、公示の日から納税通知書の交付を受けた日後1月を経過するまでの間において、文書をもって、固定資産評価審査委員会に審査の申出をすることができる。,年度の途中において家屋の売買が行われた場合、売主と買主は、当該年度の固定資産税を、固定資産課税台帳に所有者として登録されている日数で按分して納付しなければならない。,住宅用地のうち小規模住宅用地に対して課する固定資産税の課税標準は、当該小規模住宅用地に係る固定資産税の課税標準となるべき価格の3分の1の額である。,1
R03,25,税・その他,地価公示法,地価公示法に関する次の記述のうち、誤っているものはどれか。,地価公示法の目的は、都市及びその周辺の地域等において、標準地を選定し、その正常な価格を公示することにより、一般の土地の取引価格に対して指標を与え、及び公共の利益となる事業の用に供する土地に対する適正な補償金の額の算定等に資し、もって適正な地価の形成に寄与することである。,不動産鑑定士は、公示区域内の土地について鑑定評価を行う場合において、当該土地の正常な価格を求めるときは、公示価格と実際の取引価格を規準としなければならない。,不動産鑑定士は、土地鑑定委員会の求めに応じて標準地の鑑定評価を行うに当たっては、近傍類地の取引価格から算定される推定の価格、近傍類地の地代等から算定される推定の価格及び同等の効用を有する土地の造成に要する推定の費用の額を勘案しなければならない。,関係市町村の長は、土地鑑定委員会が公示した事項のうち、当該市町村が属する都道府県に存する標準地に係る部分を記載した書面等を、当該市町村の事務所において一般の閲覧に供しなければならない。,2
R03,26,宅建業法,宅建業法（37条書面）,宅地建物取引業者が宅地建物取引業法第37条の規定により交付すべき書面（以下この問において「37条書面」という。）に関する次の記述のうち、正しいものはどれか。,宅地建物取引業者は、その媒介により建物の売買の契約を成立させた場合において、当該建物の引渡しの時期又は移転登記の申請の時期のいずれかを37条書面に記載し、当該契約の各当事者に交付しなければならない。,宅地建物取引業者は、その媒介により建物の貸借の契約を成立させた場合において、当該建物が既存の建物であるときは、建物の構造耐力上主要な部分等の状況について当事者の双方が確認した事項を37条書面に記載し、当該契約の各当事者に交付しなければならない。,宅地建物取引業者は、その媒介により建物の貸借の契約を成立させた場合において、借賃以外の金銭の授受に関する定めがあるときは、その額や当該金銭の授受の時期だけでなく、当該金銭の授受の目的についても37条書面に記載し、当該契約の各当事者に交付しなければならない。,宅地建物取引業者は、37条書面を交付するに当たり、宅地建物取引士をして、その書面に記名押印上、その内容を説明させなければならない。,3
R03,27,宅建業法,宅建業法（自ら売主規制・手付等保全措置）,宅地建物取引業者Aが、自ら売主として、宅地建物取引業者ではないBとの間で建物の売買契約を締結する場合における次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,AB間で建物の売買契約を締結する場合において、当事者の債務の不履行を理由とする契約の解除に伴う損害賠償の額についての特約を、代金の額の10分の2を超えて定めた場合、当該特約は全体として無効となる。,AB間で建築工事完了前の建物の売買契約を締結する場合において、AがBから保全措置が必要となる額の手付金を受領する場合、Aは、事前に、国土交通大臣が指定する指定保管機関と手付金等寄託契約を締結し、かつ、当該契約を証する書面を買主に交付した後でなければ、Bからその手付金を受領することができない。,AB間で建物の売買契約を締結する場合において、Aは、あらかじめBの承諾を書面で得た場合に限り、売買代金の額の10分の2を超える額の手付を受領することができる。,AB間で建築工事完了前の建物の売買契約を締結する場合において、売買代金の10分の2の額を手付金として定めた場合、Aが手付金の保全措置を講じていないときは、Bは手付金の支払を拒否することができる。,4
R03,28,宅建業法,宅建業法（監督処分・罰則）,"宅地建物取引業者A（甲県知事免許）に関する監督処分及び罰則に関する次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、正しいものはいくつあるか。
ア　Aが、不正の手段により甲県知事から免許を受けたとき、甲県知事はAに対して当該免許を取り消さなければならない。
イ　Aが、法第3条の2第1項の規定により付された条件に違反したときは、甲県知事はAの免許を取り消さなければならない。
ウ　Aが、事務所の公衆の見やすい場所に国土交通大臣が定めた報酬の額を掲示しなかった場合、Aは甲県知事から指示処分を受けることはあるが、罰則の適用を受けることはない。
エ　Aの従業者名簿の作成に当たり、法第48条第3項の規定により記載しなければならない事項についてAの従業者Bが虚偽の記載をした場合、Bは罰則の適用を受けることはあるが、Aは罰則の適用を受けることはない。",一つ,二つ,三つ,四つ,1
R03,29,宅建業法,宅建業法（免許の更新・廃業等）,次の記述のうち、宅地建物取引業法の規定によれば、誤っているものはどれか。,宅地建物取引業の免許の有効期間は5年であり、免許の更新の申請は、有効期間満了の日の90日前から30日前までの間に行わなければならない。,宅地建物取引業者から免許の更新の申請があった場合において、有効期間の満了の日までにその申請について処分がなされないときは、従前の免許は、有効期間の満了後もその処分がなされるまでの間は、なお効力を有する。,個人である宅地建物取引業者A（甲県知事免許）が死亡した場合、Aの相続人は、Aの死亡の日から30日以内に、その旨を甲県知事に届け出なければならない。,法人である宅地建物取引業者B（乙県知事免許）が合併により消滅した場合、Bを代表する役員であった者は、その日から30日以内に、その旨を乙県知事に届け出なければならない。,3
R03,30,宅建業法,宅建業法（広告）,宅地建物取引業者Aがその業務に関して行う広告に関する次の記述のうち、宅地建物取引業法（以下この問において「法」という。）の規定によれば、正しいものはどれか。,Aは、中古の建物の売買において、当該建物の所有者から媒介の依頼を受け、取引態様の別を明示せずに広告を掲載したものの、広告を見た者からの問合せはなく、契約成立には至らなかった場合には、当該広告は法第34条の規定に違反するものではない。,Aは、自ら売主として、建築基準法第6条第1項の確認の申請中である新築の分譲マンションについて「建築確認申請済」と明示した上で広告を行った。当該広告は、建築確認を終えたものと誤認させるものではないため、法第33条の規定に違反するものではない。,Aは、顧客を集めるために売る意思のない条件の良い物件を広告し、実際は他の物件を販売しようとしたが注文がなく、売買が成立しなかった場合であっても、監督処分の対象となる。,Aは、免許を受けた都道府県知事から宅地建物取引業の免許の取消しを受けたものの、当該免許の取消し前に建物の売買の広告をしていた場合、当該建物の売買契約を締結する目的の範囲内においては、なお宅地建物取引業者とみなされる。,3
R03,31,宅建業法,宅建業法（報酬）,"宅地建物取引業者A（消費税課税事業者）が貸主Bから建物の貸借の代理の依頼を受け、宅地建物取引業者C（消費税課税事業者）が借主Dから媒介の依頼を受け、BとDとの間で賃貸借契約を成立させた場合における次の記述のうち、宅地建物取引業法の規定によれば、誤っているものはいくつあるか。なお、1か月分の借賃は8万円とし、借賃及び権利金（権利設定の対価として支払われる金銭であって返還されないものをいう。）には、消費税等相当額を含まないものとする。
ア　建物を住居として貸借する場合、Cは、媒介の依頼を受けるに当たってDから承諾を得ているときを除き、44,000円を超える報酬をDから受領することはできない。
イ　建物を店舗として貸借する場合、AがBから受領する報酬とCがDから受領する報酬の合計額は88,000円を超えてはならない。
ウ　建物を店舗として貸借する場合、200万円の権利金の授受があるときは、A及びCが受領できる報酬の額の合計は、110,000円を超えてはならない。
エ　Aは、Bから媒介報酬の限度額まで受領する他に、Bの依頼によらない通常の広告の料金に相当する額を別途受領することができる。",一つ,二つ,三つ,四つ,2
R03,32,宅建業法,宅建業法（供託所等の説明）,宅地建物取引業法第35条の2に規定する供託所等に関する説明についての次の記述のうち、正しいものはどれか。なお、特に断りのない限り、宅地建物取引業者の相手方は宅地建物取引業者ではないものとする。,宅地建物取引業者は、宅地建物取引業者の相手方に対して供託所等の説明を行う際に書面を交付することは要求されていないが、重要事項説明書に記載して説明することが望ましい。,宅地建物取引業者は、宅地建物取引業者が取引の相手方の場合においても、供託所等に係る説明をしなければならない。,宅地建物取引業者は、売買、交換又は貸借の契約に際し、契約成立後、速やかに供託所等に係る説明をしなければならない。,宅地建物取引業者は、自らが宅地建物取引業保証協会の社員である場合、営業保証金を供託した主たる事務所の最寄りの供託所及び所在地の説明をしなければならない。,1
R03,33,宅建業法,宅建業法（媒介契約）,"宅地建物取引業者Aは、BからB所有の宅地の売却について媒介の依頼を受けた。この場合における次の記述のうち、宅地建物取引業法の規定によれば、正しいものはいくつあるか。なお、この問において「専任媒介契約」とは、専属専任媒介契約ではない専任媒介契約をいう。
ア　AがBとの間で専任媒介契約を締結した場合、AはBに対して、当該専任媒介契約に係る業務の処理状況を1週間に1回以上報告しなければならない。
イ　AがBとの間で専任媒介契約を締結した場合、Bの要望により当該宅地を指定流通機構に登録しない旨の特約をしているときを除き、Aは、当該専任媒介契約締結日から7日以内（休業日数を含まない。）に、指定流通機構に当該宅地の所在等を登録しなければならない。
ウ　AがBとの間で一般媒介契約を締結した場合、AはBに対して、遅滞なく、宅地建物取引業法第34条の2第1項の規定に基づく書面を交付しなければならない。
エ　AがBとの間で一般媒介契約を締結した場合、AがBに対し当該宅地の価額又は評価額について意見を述べるときは、その根拠を明らかにしなければならないが、根拠の明示は口頭でも書面を用いてもよい。",一つ,二つ,三つ,四つ,2
R03,34,宅建業法,宅建業法（宅地・建物の定義）,宅地、建物に関する次の記述のうち、宅地建物取引業法の規定によれば、正しいものはどれか。,宅地とは、建物の敷地に供せられる土地をいい、道路、公園、河川、広場及び水路に供せられているものは宅地には当たらない。,建物の一部の売買の代理を業として行う行為は、宅地建物取引業に当たらない。,建物とは、土地に定着する工作物のうち、屋根及び柱若しくは壁を有するものをいうが、学校、病院、官公庁施設等の公共的な施設は建物には当たらない。,宅地とは、現に建物の敷地に供せられている土地をいい、その地目、現況によって宅地に当たるか否かを判断する。,1
R03,35,宅建業法,宅建業法（重要事項説明）,宅地建物取引業者が宅地及び建物の売買の媒介を行う場合における宅地建物取引業法第35条に規定する重要事項の説明及び重要事項説明書の交付に関する次の記述のうち、正しいものはどれか。,宅地建物取引士は、テレビ会議等のITを活用して重要事項の説明を行うときは、相手方の承諾があれば宅地建物取引士証の提示を省略することができる。,宅地建物取引業者は、その媒介により売買契約が成立したときは、当該契約の各当事者に、遅滞なく、重要事項説明書を交付しなければならない。,宅地建物取引業者は、重要事項説明書の交付に当たり、専任の宅地建物取引士をして当該書面に記名押印させるとともに、売買契約の各当事者にも当該書面に記名押印させなければならない。,宅地建物取引業者は、買主が宅地建物取引業者であっても、重要事項説明書を交付しなければならない。,4
